Food Name,Ingredients,SuitableForDiabetic,Calories_(kcal),Carbohydrate_(g),Protein_(g),Fat_(g),Fiber_(g),Free_sugars_(g),Cholesterol_(mg),Sodium_(mg)
KOTMALE VANILLA MILK,['KOTMALE VANILLA MILK'],TRUE,124,21,3.4,3,,0.973529616,0,35.51198816
KURUMBA,['KURUMBA'],TRUE,75,8.9,2.2,4.1,,0.973529616,8.638186646,35.51198816
"LEEKS AND POTATO, W/ COCONUT MILK","['LEEKS', 'POTATO', 'W/ COCONUT MILK']",TRUE,209.4,29.48,4.44,9.04,,4.91139869,35.16,43.45720113
LEMON PUFF,['LEMON PUFF'],TRUE,59,8.7,0.7,2.3,,0.973529616,0,35.51198816
"LOTUS SEED, DRY","['LOTUS SEED, DRY']",TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
LUNU MIRIS,['LUNU MIRIS'],TRUE,12,1.43,0.87,0.04,,0.973529616,0,35.51198816
MANGO CHUTNEY,['MANGO CHUTNEY'],TRUE,60,15,0.5,0,,0.973529616,0,35.51198816
MARIE BISCUIT,['MARIE BISCUIT'],TRUE,17,2.8,0.29,0.4,,0.973529616,0,35.51198816
MILK CREAM BISCUIT,['MILK CREAM BISCUIT'],TRUE,56,8.5,0.6,2.5,,0.973529616,0,35.51198816
NECTO,['NECTO'],TRUE,30,7.3,0,0,,0.973529616,0,35.51198816
NICE BISCUIT,['NICE BISCUIT'],TRUE,42,6.6,0.63,1.6,,0.973529616,0,35.51198816
OATS,['OATS'],TRUE,150,27,5,3,,0.973529616,0,35.51198816
OLIVE OIL,['OLIVE OIL'],TRUE,120,0,0,14,,0.973529616,0,35.51198816
ORANGE,['ORANGE'],TRUE,62,15.4,1.2,0.2,,1.82696062,0,9.752600045
ORANGE CREAM BISCUIT,['ORANGE CREAM BISCUIT'],TRUE,54,9,0.6,2,,0.973529616,0,35.51198816
"PALMYRA FRUIT, JELLY SEEDS, RAW","['PALMYRA FRUIT, JELLY SEEDS, RAW']",TRUE,111.4,22.68,2.14,2.9,0.3,1.302432189,0,9.516584116
PANEER,['PANEER'],TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
PANI MURUKKU,['PANI MURUKKU'],TRUE,46,7.5,0.8,0.9,,0.973529616,0,35.51198816
PAPADAM,['PAPADAM'],TRUE,21,3.7,1,1,,0.973529616,0,35.51198816
PEANUT BUTTER,['PEANUT BUTTER'],TRUE,190,7,8,16,,0.973529616,0,35.51198816
POLOS CURRY,['POLOS CURRY'],TRUE,137,19.04,9.02,2.42,,0.973529616,0,35.51198816
