Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"LEEKS AND POTATO, W/ COCONUT MILK",,,,,,,R,,3.6,18.2,13.0,,,,37.4,,2.5,0.8,0.16,0.03,0.76,0.26,0.0,54.45,8.2,89.26,,,,,,,,,,,,,
"LEEKS, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,2.5,12.1,6.2,3.4,0.4,0.0,45.0,20.4,0.79,0.22,0.04,0.04,0.3,0.11,0.0,35.5,3.6,3.0,1.1,1.3,0.0,,,,,,,,,,
"LEEKS, TEMPERED",,,,,,,R,,2.851191044,11.89799595,10.31424999,4.126073837,4.322883129,0.0,45.92801285,29.46445465,2.316802979,0.575586021,0.033570051,0.035366599,0.727843463,0.237904698,,42.09104156,16.81974602,76.7702179,0.47212702,,,0.457247019,56.61819077,421.0506897,19.53344727,4.763164997,,,,,3.998188019
"LEEKS, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,1.9,8.8,5.0,0.4,0.7,0.0,42.0,9.8,0.4,0.06,0.04,0.03,0.4,0.11,0.0,27.2,4.4,4.0,0.3,0.7,0.0,,,,,,,,,,
"LEEKS, W/ COCONUT MILK",,,,,,,R,,3.3,25.2,11.3,1.7,3.0,0.0,59.0,23.1,1.6,0.2,0.03,0.02,0.3,0.09,0.0,28.2,4.0,22.0,0.3,0.3,0.0,,,,,,,,,,
"LEGUME MALLUM, NFS, TEMPERED, W/ SCRAPED COCONUT",,,,,,,R,,11.96407795,14.35409927,23.74410057,6.656666756,19.12242126,0.0,26.19913864,40.14735413,2.881800413,1.593084455,0.094745673,0.061946869,0.609387636,0.089798152,,20.79128647,0.0,0.84943682,0.230671316,,,0.83606112,146.7363586,329.2052612,34.7702713,36.49905777,,,,,0.819954097
"LEGUME MALLUM, NFS, W/ SCRAPED COCONUT",,,,,,,R,,12.53009319,7.228633404,24.77280617,7.17110014,19.96100235,0.0,27.48178101,42.95594025,3.036232233,1.685214758,0.098518148,0.065634683,0.641223431,0.096060455,,21.98209381,0.0,0.8832587,0.249870434,,,0.888890982,155.0947876,350.8377075,37.22406769,38.79892731,,,,,0.852602065
"LEGUMES AND LEAFY GREENS, NFS, W/ COCONUT MILK",,,,,,,R,,9.487352371,7.470448494,18.49509048,5.507285595,12.78387928,0.0,104.1650162,50.40777206,3.29744339,1.506271601,0.094115093,0.11086192,0.909292042,0.212395653,,37.99980164,15.24610233,370.3963623,0.248769522,,,0.641195416,115.1189499,365.6530457,27.31802177,25.10972214,,,,,1.078934908
"LEGUMES AND VEGETABLE, NFS, TEMPERED",,,,,,,R,,9.392623901,5.262973309,18.87472916,6.245176792,13.97038937,0.0,35.13796997,41.03679276,2.492168665,1.189386487,0.108839102,0.085689679,1.157539368,0.143628463,,45.76593781,7.243593216,13.99197006,0.174828559,,,0.816882193,128.3092194,365.6378479,24.92850876,23.768013,,,,,1.54131794
"LEGUMES AND VEGETABLE, NFS, TEMPERED, W/ COCONUT MILK",,,,,,,R,,7.775320053,16.21855736,16.11279297,4.176191807,10.19503975,0.0,47.47312546,27.07975006,2.558449984,1.189436078,0.081325985,0.054553051,1.054738164,0.099473275,,32.14147949,4.299917698,10.82957077,0.129298121,,,0.534080803,86.31302643,237.4221497,17.64828682,17.26502419,,,,,0.839368224
"LEGUMES AND VEGETABLE, NFS, W/ COCONUT MILK",,,,,,,R,,7.751879692,11.76556969,16.0850544,4.125256062,10.18575668,0.0,47.13588715,26.80116272,2.551018953,1.187498212,0.08088094,0.053756244,1.03996408,0.098107331,,31.57051086,4.193703651,10.54722595,0.128329471,,,0.52839762,85.89043427,234.8513947,17.57964706,17.23367119,,,,,0.830489159
"LEGUMES AND WHITE ROOT/TUBER, NFS, W/ COCONUT MILK",,,,,,,R,,7.492612839,11.75051689,18.94931602,3.637251377,12.78822422,0.0,42.81030655,25.92764473,2.533285141,1.198969483,0.082643002,0.037526734,0.859033465,0.083354853,,22.10919189,5.297367573,4.549303532,0.129205599,,,0.456864268,87.76122284,274.0499268,17.53322983,16.61045647,,,,,0.842111111
"LEGUMES, NFS, AND DRIED FISH, NFS, LIGHT TEMPERED, W/ COCONUT MILK",,,,,,,R,,12.702579,10.481936,13.713758,2.9799318,9.0135889,15.973001,36.620445,36.344887,2.2857559,1.3439181,0.062800176,0.058325388,1.131766,0.17605425,0.28575665,52.696575,3.5046034,2.4490306,0.09429311,,,0.4861306,114.02755,261.7019,1254.0615,65.281143,,,,,
"LEGUMES, NFS, AND DRIED FISH, NFS, TEMPERED",,,,,,,R,,15.670551,9.6190367,13.709994,4.0850639,9.175931,24.264782,47.674194,53.789967,2.4841068,1.4029572,0.075536072,0.085907422,1.332842,0.25124729,0.54985547,73.918213,8.6681585,27.262997,0.13027094,,,0.6077978,149.88196,392.50699,1899.7659,91.378082,,,,,
"LEMON OR LIME JUICE,FRESH, W/ WATER & SUGAR",,,,,,,R,,0.03074473,0.063151337,0.89893711,0,0.0,0.0,1.8666689,0.77692759,0.010945885,0.005845307,0.003323755,0.000885538,0.007478448,0.003323755,0.0,1.191566,4.074923,0.035730362,0.003323755,,,0.008309386,0.83343142,11.971264,0.080981888,0.001724198,,17.532804,3.9660699,28.999758,0.21853685
"LEMON OR LIME JUICE,FRESH, W/ WATER (NO SWEETENER)",,,,,,,S,,0.4,0.8,7.0,0,0.0,0.0,23.0,8.9,0.12,0.08,0.04,0.01,0.0,0.03,0.0,12.4,48.2,0.0,0.1,7.0,2.2,,,,,,,,,,
LEMON PUFF,13.0,8.7,0.7,2.3,Dinner,Yes,S,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMON-LIME SODA,,,,,,,S,,0.0,0.0,7.2,0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIME JUICE,FRESH, W/ SODA & SWEETENER",,,,,,,R,,0.054841947,0.021604404,0.70200467,0.15954022,0.046532564,0.0,2.1633141,1.2671814,0.010114947,0.004183429,0.004985632,0.000885538,0.017449711,0.004154693,0.0,1.0054357,3.1617215,0.029913791,0.028251912,,,0.020773465,1.6170065,16.624519,0.070179686,0.035792682,,6.7846136,3.166707,7.3313713,0.28335008
"LIME JUICE,FRESH,RAW (100% JUICE)",,,,,,,S,,0.4,0.1,1.6,0,0.0,0.0,9.0,6.0,0.0,0.1,0.02,0.01,0.1,0.04,0.0,0.0,38.0,0.0,0.0,0.0,0.0,,,,,,,,,,
LIME PICKLE,,,,,,,R,,1.014500022,0.377700001,11.22980022,2.754799843,1.011000037,0.0,34.83000183,21.22500038,0.292400002,0.097499996,0.070710003,0.02458,0.441029996,0.082940005,,11.58334064,40.51224899,5.879199982,0.4005,,,0.314900011,27.62599945,264.7200012,2.204900026,0.92080003,,,,,3.797499895
"LIQUOR, ARAK",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIQUOR, HARD (>35% ABV), NON-SPECIFIC",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIQUOR, KASIPPU",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIQUOR, TODDY, COCONUT",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIQUOR, TODDY, KITUL",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIQUOR, TODDY, PALMYRA",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"LIVER,CALF,TEMPERED",,,,,,,R,,21.783152,8.5134249,3.5913889,1.973474,2.1231713,271.56497,28.833454,31.449528,19.10079,7.0646896,0.17087762,0.34342039,13.033937,0.059656713,45.923389,5.4229245,1.4118766,13.038739,0.70316225,,,0.12874687,355.47153,421.00232,55.689655,30.827974,,,,,
"LOBSTER, FRESH, TEMPERED",,,,,,,R,,9.4653082,5.1821351,1.564873,1.046944,0.31004101,19.939823,40.925339,31.225721,0.435267,1.009761,0.01616984,0.02481525,1.0065629,68.091476,0.57569999,874.98462,2.6063035,16.797201,0.27900299,,,0.67190301,137.08945,213.05701,94.303993,34.337997,,,,,
"LONG BEANS, BOILED",,,,,,,R,,2.7588961,0.24632999,1.633989,4.3600411,0.68972403,0.0,34.573593,25.874092,0.79024541,0.063203603,0.0,0.048034351,2.6295729,0.079030871,,55.413166,5.6826277,0.0,0.057477001,,,0.79646701,38.966942,224.65295,4.2590456,2.2005479,,100.1742,7.2174692,89.499901,0.80467802
"LONG BEANS, BOILED, W/ SCRAPED COCONUT",,,,,,,R,,4.112419128,6.987197876,5.007697105,7.260684013,1.992272019,0.0,46.48290253,43.88634109,1.432092071,0.354945004,0.016896799,0.072641745,3.125458956,0.149417892,,75.38471985,9.535747528,9.983178139,0.168342993,,,1.065338969,75.85352325,396.7096863,13.38389969,8.339692116,,,,,2.075737953
"LONG BEANS, TEMPERED",,,,,,,R,,3.622668028,8.095222473,5.111824036,5.759171009,1.528023958,0.0,45.98135757,36.88317871,1.197458982,0.179044008,0.0192768,0.065454997,3.104708195,0.13879405,,75.03614807,9.933697701,9.992697716,0.10407,,,0.955498993,61.40362167,354.0,6.492865086,2.641894102,,,,,2.494338036
"LONG BEANS, TEMPERED, W/ COCONUT MILK",,,,,,,R,,4.4,25.3,14.0,2.9,3.8,0.0,72.0,55.5,1.86,0.53,0.09,0.12,0.7,0.08,0.14788079,53.8,8.5,109.0,0.2,1.1,0.1,,,,,,,,,,
"LONG BEANS, TEMPERED, W/ SCRAPED COCONUT",,,,,,,R,,4.112419128,14.67719841,5.007697105,7.260684013,1.992272019,0.0,46.48290253,43.88634109,1.432092071,0.354945004,0.016896799,0.072641745,3.125458956,0.149417892,,75.38471985,9.535747528,9.983178139,0.168342993,,,1.065338969,75.85352325,396.7096863,13.38389969,8.339692116,,,,,2.075737953
"LONG BEANS, W/ COCONUT MILK",,,,,,,R,,2.7,10.2,8.5,1.1,2.2,0.0,42.0,33.5,0.93,0.33,0.05,0.06,0.3,0.02,0.0,36.2,1.1,68.0,0.0,0.9,0.0,,,,,,,,,,
"LOTUS ROOT, W/ COCONUT  MILK",,,,,,,R,,2.2,11.8,10.1,3,8.0,0.0,33.0,21.6,2.08,0.3,0.03,0.04,0.4,0.06,0.0,13.9,5.8,127.0,0.3,1.9,0.3,,,,,,,,,,
"LOTUS SEED, DRY",,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUNU MIRIS,10.0,1.43,0.87,0.04,Snack,No,S,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAIZE KERNELS, BOILED",,,,,,,R,,2.8167579,1.151034,22.028732,3.2378681,14.261592,0.0,4.7369509,36.547199,0.62839699,0.81991923,0.1080849,0.10036455,0.92527223,0.36028299,,41.272991,2.9517472,6.6619601,0.084221996,,,0.402394,153.28404,154.12627,2.0536132,2.4705119,,97.323196,134.7552,332.20901,1.366268
"MAIZE KERNELS, FRIED",,,,,,,R,,5.6630058,6.8879528,23.356232,5.7657032,11.678116,0.0,9.5654917,50.923042,0.67486602,0.99762797,0.1247035,0.1951243,1.4920408,0.40932089,,65.993095,8.3925457,14.365843,0.132039,,,0.49881399,162.8481,437.1958,3.212949,5.5016251,,183.34894,257.10797,425.51984,6.8660278
"MAIZE ON THE COB, BOILED",,,,,,,R,,2.8167579,1.151034,22.028732,3.2378681,14.261592,0.0,4.7369509,36.547199,0.62839699,0.81991923,0.1080849,0.10036455,0.92527223,0.36028299,,41.272991,2.9517472,6.6619601,0.084221996,,,0.402394,153.28404,154.12627,2.0536132,2.4705119,,97.323196,134.7552,332.20901,1.366268
"MAIZE ON THE COB, ROASTED",,,,,,,R,,4.053,1.5015,16.716,4.1265001,8.3579998,0.0,7.2460003,36.445499,0.495,0.71799999,0.094499998,0.13965,1.127175,0.30922499,,53.978401,6.006525,10.8864,0.094499998,,,0.35699999,116.55,312.89999,2.2995,3.9375,,128.10001,183.75,304.5,4.914
"MALDIVES FISH, DRY",,,,,,,S,,61.32,6.26,,,,98.44,51.12,133.0,3.44,3.02,,0.18,3.19,2.99,5.64,352.0,,,,,,0.31,461.0,804.0,10612.0,811.0,,2713.0,1537.0,1379.0,
"MALTED DRINK MIX, POWDER ONLY",,,,,,,S,,8.7,8.7,73.9,0,0.0,22.0,435.0,0.0,11.7,0.0,0.0,1.11,17.4,1.74,0.8,0.0,52.2,0.0,0.0,0.0,0.0,1.5,470.0,1191.0,400.0,,0.0,3.8,,,
"MALTED DRINK, BOTTLED, READY-TO-DRINK",,,,,,,S,,3.4,1.4,10.0,0,0.0,0.0,160.0,0.0,1.0,0.0,0.0,0.2,1.3,0.2,0.42,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"MALTED DRINK, FROM POWDER",,,,,,,S,,0.665,0.723333333,9.625,0,0.0,0.0,40.71666667,7.816666667,0.07,0.595,0.042,0.106166667,0.571666667,0.019833333,0.42,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALU PAN,,,,,Dinner,Yes,S,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDARIN,,,,,,,S,,0.81,0.31,13.3,1.8,0.0,0.0,37.0,12.0,0.15,0.07,0.058,0.036,0.376,0.078,0.0,16.0,26.7,34.0,0.0,,,,,,,,,,,,
MANGO CHUTNEY,100.0,15.0,0.5,0.0,,,S,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGO CHUTNEY WITH SUGAR,100.0,50.0,0.5,0.0,,,S,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGO JUICE,,,,,Beverage,Yes,S,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGO JUICE,,,,,Snack,No,S,909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MANGO JUICE, UNSWEETENED (100% JUICE)",,,,,,,S,,0.1,0.2,9.8,,,,2.0,,1.5,0.0,0.01,0.01,0.5,0.0,0.0,0.0,25.0,35.0,,,,,,,,,,,,,
"MANGO, GREEN",,,,,,,S,,0.7,0.1,10.6,3,5.8,0.0,27.0,17.5,0.4,0.09,0.02,0.02,0.3,0.13,0.0,25.9,90.2,0.0,0.9,0.4,0.3,,,,,,,,,,
"MANGO, SEMI-RIPE",,,,,,,S,,0.6,0.35,9.4,2.45,2.9,0.0,21.5,15.45,0.455,0.105,0.025,0.03,0.3,0.125,0.0,43.0,61.6,97.5,0.6,0.55,1.35,,,,,,,,,,
"MANGO, SEMI-RIPE, BOILED AND TEMPERED CURRY",,,,,,,R,,1.648000956,5.597820759,10.7886982,3.905819893,4.668174267,0.0,104.0413513,25.20288277,1.029806018,0.207664996,0.04792555,0.040376551,0.423140943,0.135108992,,18.12164116,43.80470276,27.82380676,0.498062015,,,0.235431999,32.35048294,237.6157074,21.31515121,0.783703983,,,,,2.955282927
"MANGO, SEMI-RIPE, BOILED CURRY",,,,,,,R,,1.648000956,8.597821236,10.7886982,3.905819893,4.668174267,0.0,104.0413513,25.20288277,1.029806018,0.207664996,0.04792555,0.040376551,0.423140943,0.135108992,,18.12164116,43.80470276,27.82380676,0.498062015,,,0.235431999,32.35048294,237.6157074,21.31515121,0.783703983,,,,,2.955282927
"MANGO, SEMI-RIPE, BOILED CURRY, W/ COCONUT MILK",,,,,,,R,,2.269304037,13.39301777,11.75326729,2.669825077,3.909528971,0.0,93.98002625,16.93261337,1.593987942,0.51157403,0.038244501,0.023635751,0.667488933,0.122409075,,21.88140488,41.69528198,17.43331146,0.463197023,,,0.151781008,19.14731407,151.2393036,20.85454559,0.325395018,,,,,2.272267103
"MANGO,RIPE",,,,,,,S,,0.5,0.6,8.2,1.9,0.0,0.0,16.0,13.4,0.51,0.12,0.03,0.04,0.3,0.12,0.0,43.0,33.0,195.0,0.3,0.7,2.4,,,,,,,,,,
"MANGOSTEEN, RAW",,,,,,,S,,0.6,0.2,11.4,1.9,0.5,0.0,5.0,12.0,0.28,0.21,0.01,0.01,0.6,0.18,0.0,13.5,26.3,0.0,0.1,0.4,1.3,,,,,,,,,,
"MANILA TAMARIND, RAW",,,,,,,S,,3.6,1.1,13.5,4.4,0.5,0.0,9.0,33.0,0.71,0.56,0.18,0.14,0.4,0.04,0.0,4.2,55.8,0.0,0.4,0.1,0.2,,,,,,,,,,
MARGARINE,,,,,,,S,,0.2,81.6,1.0,,,,4.0,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,,,,,,,,,,,,,
MARIE BISCUIT,4.0,2.8,0.29,0.4,,,S,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARMALADE,,,,,,,S,,0.1,0.0,69.5,0,0.0,0.0,26.0,3.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,64.0,1.0,0.0,0.0,0.0,0.0,
"MATURE JACKFRUIT, BOILED",,,,,,,R,,1.6,0.3,2.9,6.4,0.0,0.0,38.0,22.7,0.26,0.14,0.03,0.03,0.1,0.02,0.0,29.6,8.0,0.0,0.0,2.6,1.4,,,,,,,,,,
"MATURE JACKFRUIT, BOILED & TEMPERED",,,,,,,R,,4.020550728,5.665438652,16.09597778,5.141955853,2.116754055,0.0,111.4987335,41.91843033,0.907025993,0.258322984,0.077303149,0.037788149,0.674397588,0.223838195,,21.28829193,9.84888649,24.28838158,0.151482001,,,0.311455995,34.86096191,357.8349915,3.923048019,0.783703983,,,,,11.75359154
"MATURE JACKFRUIT, BOILED, W/ COCONUT MILK",,,,,,,R,,2.3,13.2,6.0,5.2,1.6,0.0,40.0,23.9,0.88,0.19,0.02,0.03,0.2,0.02,0.0,22.4,6.5,25.0,0.1,0.6,0.2,,,,,,,,,,
"MATURE JACKFRUIT, TEMPERED",,,,,,,R,,4.020550728,5.665438652,16.09597778,5.141955853,2.116754055,0.0,111.4987335,41.91843033,0.907025993,0.258322984,0.077303149,0.037788149,0.674397588,0.223838195,,21.28829193,9.84888649,24.28838158,0.151482001,,,0.311455995,34.86096191,357.8349915,3.923048019,0.783703983,,,,,11.75359154
"MATURE JACKFRUIT, TEMPERED, W/ COCONUT MILK",,,,,,,R,,1.6,7.8,3.9,4.4,0.9,0.0,33.0,19.1,0.56,0.16,0.02,0.03,0.1,0.02,0.0,20.5,5.8,25.0,0.1,1.5,0.2,,,,,,,,,,
MILK CREAM BISCUIT,12.0,8.5,0.6,2.5,,,S,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MILK POWDER, WHOLE (FULL FAT)",,,,,,,S,,26.6,26.7,37.5,,,,959.0,92.0,0.7,3.71,0.31,1.37,6.8,0.27,1.2,38.0,10.7,238.0,0.59,,,,758.0,1180.0,365.0,,,,,,
MILK RICE,,,,,,,R,,5.4,6.2,50.5,1.9,47.8,0.0,13.0,14.1,0.68,0.77,0.02,0.02,0.6,0.05,0.0,5.8,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,
MILK RICE W/ MUNG BEAN,,,,,,,R,,4.9,5.7,27.1,2.7,24.7,0.0,18.0,27.7,0.9,0.62,0.04,0.03,0.4,0.04,0.0,17.9,0.0,3.0,0.1,0.6,0.1,,,,,,,,,,
"MILK, LOW FAT, FRESH OR UHT",,,,,,,S,,3.71,1.31,6.27,,,,127.0,12.0,0.1,,0.04,0.23,0.13,,0.55,,,12.0,,,,,106.0,168.0,50.0,,,,,,
"MILK, LOW FAT, FROM POWDER",,,,,,,S,,4.386666667,0.116666667,5.81,0,0.0,0.0,159.8333333,12.83333333,0.128333333,0.548333333,0.0525,0.191333333,1.131666667,0.074666667,0.55,2.45,0.583333333,0.0,0.011666667,0.0,0.0,0.0,111.5333333,186.6666667,50.75,0.0,0.0,0.0,0.0,0.0,0.0
"MILK, NON FAT, FRESH OR UHT",,,,,,,S,,3.5,0.3,4.8,0,0.0,0.0,125.0,11.0,0.03,0.5,0.03,0.22,0.1,0.06,0.58,9.0,1.0,0.0,0.0,0.0,0.0,0.41,92.0,148.0,40.0,2.0,0.0,,,0.0,
"MILK, WHOLE, FRESH OR UHT",,,,,,,S,,3.3,4.5,4.9,0,0.0,0.0,118.0,8.3,0.15,0.33,0.03,0.11,0.1,0.04,0.54,0.4,7.0,2.0,2.0,1.4,0.3,,,,,,,,,,
"MILK, WHOLE, FROM POWDER",,,,,,,S,,3.115,3.115,4.666666667,0,0.0,11.66666667,97.18333333,9.333333333,0.0,0.35,0.0,0.131833333,0.0,0.0,0.54,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MUKUNUWENNA, BOILED, W/ COCONUT MILK",,,,,,,R,,3.3193929,11.496529,5.3897681,3.6009128,1.1622469,0.0,143.15495,30.991945,1.954721,1.0088251,0.022448199,0.057242248,0.81561017,0.1897576,,54.043739,4.0988431,55.906693,0.20850299,,,0.38068399,32.005527,311.95642,20.663378,20.133049,,47.96204,64.028915,70.01339,0.90558398
"MUKUNUWENNA, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,5.3,12.5,7.0,8.5,0.2,0.0,299.0,75.9,3.4,0.97,0.02,0.08,0.3,0.12,0.0,47.1,44.4,666.0,1.2,1.6,0.6,,,,,,,,,,
"MUKUNUWENNA, TEMPERED",,,,,,,R,,3.837226868,10.58715916,3.884290934,7.082312584,2.045150995,0.0,129.4305878,54.15885544,1.96739006,1.20638299,0.0058718,0.092276596,0.751038313,0.276102841,,81.41691589,6.22454977,78.41910553,0.376435012,,,0.68650198,63.89846039,515.8811035,38.16573715,35.88796616,,,,,1.209604025
"MUKUNUWENNA, TEMPERED, W/ SCRAPED COCONUT",,,,,,,R,,3.864872932,16.5184803,4.444108009,7.352119923,2.46748805,0.0,117.1173706,53.31367874,1.925246,1.156186938,0.0114612,0.088470645,0.684056997,0.263396055,,71.55018616,6.003837109,79.14176941,0.379054993,,,0.712949991,68.07049561,488.0993958,36.78662872,33.64003754,,,,,1.314213991
MUN KAWUM,100.0,70.0,5.0,18.0,,,S,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNG KEVUM,,,,,,,R,,5.1,18.5,57.1,2,33.5,0.0,22.0,29.4,1.5,0.83,0.06,0.03,1.5,0.07,0.0,18.5,0.3,2.0,0.2,0.9,0.0,,,,,,,,,,
"MURAL (HALFBEAK), FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,11.41271,10.60254,4.0925612,1.266714,0.50873798,27.073709,240.10008,29.933083,1.673275,1.539421,0.02070226,0.1088967,3.2130415,0.68012959,0.82203501,37.461834,2.9839594,15.012181,0.034991998,,,0.15809,62.279415,209.53571,45.526184,79.123558,,,,,
MURUKKU,100.0,50.0,9.0,38.0,,,R,550.0,6.6,9.5,63.4,2.7,63.0,0.0,41.0,32.4,2.07,1.21,0.08,0.05,3.2,0.13,0.0,30.3,0.1,72.0,0.2,2.2,0.1,,,,,,,,,,
"MUSHROOM, TEMPERED",,,,,,,R,,3.098341227,4.493332863,5.299437046,4.007982254,2.605217218,0.331966221,21.92716599,25.99419975,1.474571228,0.730114043,0.031292628,0.12988846,0.778791547,0.17196396,0.018068621,16.26382256,25.52275085,58.624897,0.112588659,,,0.558154464,56.32362366,371.7218933,46.65463257,5.92182827,,,,,1.396407008
"MUSHROOM, TEMPERED, W/ COCONUT MILK",,,,,,,R,,4.2,19.4,7.2,3.1,3.2,0.0,25.0,22.0,0.88,0.25,0.02,0.04,0.6,0.1,0.0,12.9,3.0,28.0,0.1,1.2,0.0,,,,,,,,,,
"MUSK MELON, RIPE, RAW",,,,,,,S,,0.4,0.3,4.2,1.5,0.0,0.0,10.0,11.6,0.18,0.09,0.01,0.01,0.4,0.05,0.0,22.3,22.8,0.0,0.0,4.2,2.7,,,,,,,,,,
"MUSK MELON, TEMPERED, W/ COCONUT MILK",,,,,,,R,,2.12025,17.060745,8.8106213,1.687501,0.74797499,0.0,54.940483,12.330374,1.3663859,0.50276101,0.035399701,0.0205105,0.87520647,0.087415822,,27.275656,21.956263,123.16756,0.055376999,,,0.17467201,25.260157,183.25771,15.069043,0.97705299,,101.23134,30.306423,177.76369,3.1259689
MUTTON CURRY,,,,,Dinner,No,S,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECTO,,7.3,0.0,0.0,,,S,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NELLI, RAW",,,,,,,S,,0.5,0.1,13.7,,,,50.0,,1.2,0.0,0.03,0.01,0.2,0.0,0.0,0.0,600.0,1.5,,,,,,,,,,,,,
NICE BISCUIT,9.0,6.6,0.63,1.6,,,S,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOODLES,PLAIN,BOILED",,,,,,,R,,3.5807693,0.16153847,27.188461,3.773077,20.711538,0.0,7.9982691,12.655192,0.49615383,0.35384616,0.032499999,0.002884615,0.2225,0.009230769,0.0,4.1865387,0.0,0.12057693,0.011538462,,,0.23076923,31.711538,18.461538,0.72115386,5.8846154,,23.923077,13.0,80.0,0.64615387
"NOODLES,W/ VEGETABLES & EGG, W/ COCONUT OIL",,,,,,,R,,4.448864937,6.172211647,21.53450966,4.324066162,15.3614502,30.01199913,33.07682037,21.19361877,0.993497014,0.536323965,0.041425299,0.032652501,0.365914047,0.106413998,0.062033001,19.26814079,5.700253487,116.4348526,0.266470999,,,0.409843981,57.36374664,154.8894043,25.2593174,7.90920496,,,,,1.408270955
"NOODLES,W/ VEGETABLES,W/ COCONUT OIL",,,,,,,R,,4.0,3.4,22.7,3.2,19.1,0.0,42.0,25.5,0.86,0.52,0.08,0.03,1.5,0.08,0.0,31.1,10.6,174.0,0.2,5.1,0.4,,,,,,,,,,
OATS,80.0,27.0,5.0,3.0,,,S,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVE OIL,,0.0,0.0,14.0,,,S,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
