Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"CASSAVA, W/ COCONUT MILK",,,,,,,R,,1.2,7.7,30.4,0.7,0.8,0.0,41.0,3.1,0.88,0.04,0.03,0.06,0.2,0.0,0.0,1.4,10.5,9.0,0.0,0.1,0.0,,,,,,,,,,
"CATFISH, DRIED, TEMPERED",,,,,,,R,,33.407948,14.044325,5.532794,2.6848149,1.538873,51.385681,52.719791,86.805946,2.6188271,1.794384,0.02876248,0.11882851,1.8873882,1.4838635,2.796876,177.75378,7.6027465,18.585676,0.088514999,,,0.36954001,270.58762,585.47656,5542.8662,424.55951,,,,,
"CATFISH, DRIED, TEMPERED, W/ COCONUT MILK",,,,,,,R,,8.0545034,13.19938,3.6249828,1.249688,0.14838301,10.8284,23.305115,22.55928,1.3187621,0.68083,0.016561421,0.032973651,0.74350327,0.32409266,0.58938003,42.945358,2.5629385,12.202394,0.030092999,,,0.080743998,62.084438,147.81891,1168.5962,89.991081,,,,,
"CATFISH, FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,12.752435,10.871611,4.1620331,1.36043,0.53485501,9.3635998,23.421959,22.943344,1.76474,0.68491799,0.039738201,0.037282851,1.1038344,0.13194087,0.72675002,14.193074,2.4795806,16.195127,0.062613003,,,0.679452,141.51979,296.29309,19.728935,22.406715,,,,,
"CATFISH, FRESH, FRIED",,,,,,,R,,23.297873,14.437351,0.0,0,0.0,19.285343,6.1042156,26.984776,0.76483798,0.612082,0.044642001,0.052519999,1.4495521,0.2079792,1.1817,10.739289,0.0,0.0,0.0,,,1.302496,264.70081,450.62161,37.625328,44.463432,,,,,
CAVENDISH BANANA,150.0,34.2,1.7,0.5,,,S,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEYLON OLIVE, FRESH",,,,,,,S,,1.03,15.32,3.84,3.3,,,52.0,11.0,0.49,0.04,0.021,0.007,0.237,0.031,0.0,3.0,0.0,20.0,0.0,,,,,,,,,,,,
"CHICK PEAS AND EGGPLANT, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,7.1822343,10.78095,15.936284,9.0211515,11.201033,0.0,74.521614,49.983505,2.5508678,1.2047709,0.1059198,0.081549749,0.89666152,0.11989168,,57.998123,1.9911611,13.91298,0.55681902,,,0.78204501,87.022263,276.12674,8.7916651,13.221499,,164.98923,302.93503,756.5188,0.59243798
"CHICK PEAS, BOILED",,,,,,,R,,9.7,2.4,22.5,6.1,19.8,0.0,73.0,62.9,2.51,1.36,0.11,0.07,1.8,0.14,0.0,81.6,0.0,5.0,1.3,1.2,0.0,,,,,,,,,,
"CHICK PEAS, BOILED & TEMPERED",,,,,,,R,,8.102856636,5.252151966,22.42178345,4.813622952,17.79558563,0.0,30.93433952,66.18287659,1.790923953,1.21915102,0.143314004,0.039911103,0.539144814,0.099298194,,71.20597839,2.761360407,2.400935173,0.29261899,,,0.685205996,145.6900635,411.1635132,5.692287922,8.675303459,,,,,1.072144032
"CHICK PEAS, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,7.4230752,12.57994,17.190855,9.2248077,12.267808,0.0,83.922699,53.244522,3.3702836,1.262015,0.1086598,0.073764503,0.88803178,0.1257301,,56.78405,2.4469323,14.081141,0.61269802,,,0.79123104,92.634895,313.53955,9.28162,13.523345,,190.54491,312.13559,787.28894,0.68234599
"CHICK PEAS, BOILED, W/ COCONUT MILK",,,,,,,R,,6.961248875,8.995635986,15.89795113,8.750461578,11.03310013,0.0,86.98451996,49.74417496,2.506868362,1.13951695,0.108347297,0.075534947,0.862325668,0.133006394,,55.21491623,6.213227749,33.28407288,0.542358994,,,0.782272995,87.26346588,295.7431641,10.21587658,12.6846056,,,,,0.965572
"CHICK PEAS, BOILED, W/ SCRAPED COCONUT & SUGAR",,,,,,,R,,10.19696426,7.407123089,26.13928795,14.66397858,18.14784622,0.0,75.39173126,70.57942963,2.735293627,1.522440553,0.117125772,0.095088124,0.725983083,0.133981884,,53.06000137,0.0,11.98678493,0.910995007,,,1.271174908,128.6762085,372.1258545,17.73695183,25.51993179,,,,,0.391725004
"CHICK PEAS, SALAD",,,,,,,R,,10.38610077,2.893427134,23.57131958,14.45419693,18.01681137,0.0,197.3493652,71.93041992,2.720099688,1.449706554,0.158502176,0.105036326,0.914541304,0.148990482,,57.20906448,4.024041176,19.60059357,0.895417988,,,1.239566922,130.1658478,407.6621399,13.59042358,21.66928673,,,,,1.34119904
CHICKEN BREAST,100.0,0.0,31.0,3.6,,,S,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICKEN CURRY,100.0,0.0,27.0,8.0,,,S,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHICKEN GIBLETS, TEMPERED",,,,,,,R,,15.31875229,6.341222763,0.517425001,0.171407998,0.200113997,47.69809341,5.420742989,12.72058201,2.693912029,2.22565794,0.0101438,0.094974704,2.177861452,0.075397849,0.75621974,6.269272327,1.22150147,0.4052248,0.529537022,,,0.612618029,101.8027115,216.8795013,42.42908096,45.56362915,,,,,0.210199997
"CHICKEN GIZZARDS, TEMPERED",,,,,,,R,,16.836697,7.2457328,1.037064,0.66927397,0.43025801,132.6976,11.496055,17.158676,5.6953583,2.260494,0.099881865,0.13529995,2.7887218,0.25334847,5.4113097,170.76416,1.2418674,8.2461243,0.59608901,,,2.916724,156.07971,240.8219,47.336327,42.564533,,,,,0.232092991
CHICKEN GRAVY,50.0,0.0,3.5,1.5,,,S,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICKEN GRAVY W/ COCONUT MILK,,,,,,,R,,11.586333,14.093225,3.0320685,0.54230189,0.41298395,53.862144,100.34262,18.108482,1.3582898,1.45022,0.075801738,0.08325015,2.2661743,0.19001696,0.23642789,10.223163,3.2629807,3.4330037,0.34808937,,,0.57838196,144.24593,238.13998,30.860291,10.873442,,376.13324,446.96411,245.58267,0.579032
